Store,SKU,On Hand,Available
Wholesale,11-0111,0,0
Wholesale,11-0111-A,0,0
Wholesale,11-0111-CP12,1500,0
Wholesale,11-0112,0,0
Wholesale,11-0112-A,0,0
Wholesale,11-0112-CP12,732,726
Wholesale,11-0113,0,0
Wholesale,11-0113-A,0,0
Wholesale,11-0114,0,0
Wholesale,11-0114-A,0,0
Wholesale,11-0121-A,0,0
Wholesale,11-0121-CP12,1500,0
Wholesale,11-0122,0,0
Wholesale,11-0122-A,0,0
Wholesale,11-0123,1200,1200
Wholesale,11-0123-A,-8319,-8319
Wholesale,11-0124,0,0
Wholesale,11-0124-A,0,0
Wholesale,11-0131,0,0
Wholesale,11-0131-A,1500,0
Wholesale,11-0131-CP12,1476,1476
Wholesale,11-0132,599,524
Wholesale,11-0132-A,804,0
Wholesale,11-0133,0,0
Wholesale,11-0133-A,0,0
Wholesale,11-0134,0,0
Wholesale,11-0134-A,0,0
Wholesale,11-0141,1500,0
Wholesale,11-0141-A,0,0
Wholesale,11-0142,64,58
Wholesale,11-0142-A,0,0
Wholesale,11-0143,2412,2412
Wholesale,11-0143-A,0,0
Wholesale,11-0144,0,0
Wholesale,11-0144-A,0,0
Wholesale,11-0151,0,0
Wholesale,11-0151-A,0,0
Wholesale,11-0152,0,0
Wholesale,11-0152-A,0,0
Wholesale,11-0153,0,0
Wholesale,11-0153-A,0,0
Wholesale,11-0154,0,0
Wholesale,11-0154-A,0,0
Wholesale,11-0161,0,0
Wholesale,11-0161-CP12,0,0
Wholesale,11-0162,953,953
Wholesale,11-0162-CP12,0,0
Wholesale,11-0164,0,0
Wholesale,11-0241,0,0
Wholesale,11-0241-A,0,0
Wholesale,11-0242,0,0
Wholesale,11-0242-A,0,0
Wholesale,11-0243,57,51
Wholesale,11-0243-A,0,0
Wholesale,11-0244,900,900
Wholesale,11-0244-A,0,0
Wholesale,11-0245,0,0
Wholesale,11-0245-A,0,0
Wholesale,11-0246,0,0
Wholesale,11-0351,1237,138
Wholesale,11-0351-A,0,0
Wholesale,11-0450,3982,3976
Wholesale,11-0450-A,0,0
Wholesale,11-0450-B,0,0
Wholesale,11-0450-CP24,-16,-16
Wholesale,11-0451,0,0
Wholesale,11-0452,0,0
Wholesale,11-1102,313,310
Wholesale,11-1103,9069,8066
Wholesale,11-1107,672,363
Wholesale,11-1107-A,0,0
Wholesale,11-1501,3850,3790
